Date,Value
2017-12-20,17737.11
2017-12-19,18961.85
2017-12-18,19289.78
2017-12-17,19498.68
2017-12-16,17771.89
2017-12-15,16678.89
2017-12-14,16808.36
2017-12-13,17276.39
2017-12-12,16762.11
2017-12-11,14869.8
2017-12-10,15142.83
2017-12-09,16007.43
2017-12-08,16501.97
2017-12-07,13540.98
2017-12-06,11878.43
2017-12-05,11584.82
2017-12-04,11332.62
2017-12-03,11071.36
2017-12-02,10883.91
2017-12-01,10147.37
2017-11-30,9879.32
2017-11-29,9952.5
2017-11-28,9718.29
2017-11-27,9284.14
2017-11-26,8707.4
2017-11-25,8250.97
2017-11-24,8148.94
2017-11-23,8268.03
2017-11-22,8059.8
2017-11-21,8255.59
2017-11-20,8007.65
2017-11-19,7817.14
2017-11-18,7786.88
2017-11-17,7815.03
2017-11-16,7301.42
2017-11-15,6635.41
2017-11-14,6550.22
2017-11-13,5716.3
2017-11-12,6362.85
2017-11-11,6719.39
2017-11-10,7158.03
2017-11-09,7415.87
2017-11-08,7092.12
2017-11-07,6989.07
2017-11-06,7377.01
2017-11-05,7437.54
2017-11-04,7197.72
2017-11-03,7068.02
2017-11-02,6665.3
2017-11-01,6388.64
2017-10-31,6105.87
2017-10-30,6155.43
2017-10-29,5776.69
2017-10-28,5772.5
2017-10-27,5893.13
2017-10-26,5669.62
2017-10-25,5505.82
2017-10-24,5876.07
2017-10-23,5983.18
2017-10-22,6020.37
2017-10-21,5979.45
2017-10-20,5727.63
2017-10-19,5546.17
2017-10-18,5603.71
2017-10-17,5711.2
2017-10-16,5647.31
2017-10-15,5739.43
2017-10-14,5563.8
2017-10-13,5325.13
2017-10-12,4819.48
2017-10-11,4782.27
2017-10-10,4777.96
